CODIGO,NOME,DOCUMENTO,CEP,CPF_SOCIO
58827658606272,Pedro Azevedo,37018625000190,24024303,25403197699
58827658606272,Pedro Azevedo,37018625000190,24024303,62193740534
77511291281485,Sr. Kaique da Cruz,63071584000106,11105727,21736059840
77511291281485,Sr. Kaique da Cruz,63071584000106,11105727,52830176480
15268591306525,Fernando Pacheco,76524093000115,29929093,86170459220
15268591306525,Fernando Pacheco,76524093000115,29929093,56231480771
15268591306525,Fernando Pacheco,76524093000115,29929093,53269847173
30866497102820,Luiza Machado,71809356000119,13210765,18269075485
30866497102820,Luiza Machado,71809356000119,13210765,20371945879
30866497102820,Luiza Machado,71809356000119,13210765,78563419200
56648793057914,Ana Julia Gomes,80729354000100,00426342,81527069494
56648793057914,Ana Julia Gomes,80729354000100,00426342,13926054824
56648793057914,Ana Julia Gomes,80729354000100,00426342,23457068992
56648793057914,Ana Julia Gomes,80729354000100,00426342,17492685319
42234322560943,Luiz Felipe das Neves,41586390000100,66052527,23684915700
42234322560943,Luiz Felipe das Neves,41586390000100,66052527,80341697575
42234322560943,Luiz Felipe das Neves,41586390000100,66052527,56432809738
10652691134132,Dr. Noah Almeida,46917520000164,82543147,81529043689
10652691134132,Dr. Noah Almeida,46917520000164,82543147,68429035133
98831246971768,Antônio Porto,84637195000175,70852785,03918564215
98831246971768,Antônio Porto,84637195000175,70852785,92054176885
98831246971768,Antônio Porto,84637195000175,70852785,07326958130
98831246971768,Antônio Porto,84637195000175,70852785,13408269769
98831246971768,Antônio Porto,84637195000175,70852785,16509234734
55893530596193,Dr. Daniel Castro,40692581000194,70692224,35701629406
55893530596193,Dr. Daniel Castro,40692581000194,70692224,68095134775
43715816098318,Ryan Ferreira,20719864000175,58823216,98041536298
43715816098318,Ryan Ferreira,20719864000175,58823216,60794283187
26622248856242,Eloah Duarte,94825106000178,05227991,45137986291
26622248856242,Eloah Duarte,94825106000178,05227991,08142697530
62818906475390,Otto Jesus,09763415000191,29876284,50398462747
62818906475390,Otto Jesus,09763415000191,29876284,32958016498
62818906475390,Otto Jesus,09763415000191,29876284,49130758297
62818906475390,Otto Jesus,09763415000191,29876284,06142795343
33408147688617,Dra. Clarice Cirino,68940721000115,39662319,35967214070
33408147688617,Dra. Clarice Cirino,68940721000115,39662319,72586394038
